Supplier_Name,Supplier_CIN,Supplier_GSTIN,Supplier_Address,Supplier_State,Buyer_Name,Buyer_CIN,Buyer_GSTIN,Buyer_Address,Buyer_State,Invoice_Number,Invoice_Date,HSN_Code,Item_Description,Quantity,Unit,Rate_per_Unit,Total_Amount_ex_GST,CGST,SGST_UTGST,IGST,Taxable_Value,Total_Invoice_Value_with_GST,Payment_Type,ITC_Claimed,Transaction_ID,Payment_Flow,Amount,Date,Fraud_Label,Suspicious_Pattern_Flags,supplier_cin,buyer_cin,amount_num,itc_num,cgst,sgst,igst,gst_total,is_suspicious_flag,source,target,Payment_Type_enc,HSN_Code_enc,taxable_value
Company_416,CIN000416,GST000416,"404, Delhi",Maharashtra,Company_728,CIN000728,GST000728,"961, Tamil Nadu",Gujarat,INV00000010,2023-11-07,1101,Raw Material,57,ltr,3933,870162,78314,78314,167853,870162,932518,NEFT,1,TXN00000010,CIN000416->CIN000728,932518,2023-08-04,1,High Amount,CIN000416,CIN000728,932518,1,78314,78314,167853,324481,True,10,989,2,0,0
Company_1482,CIN001482,GST001482,"498, Tamil Nadu",Delhi,Company_1577,CIN001577,GST001577,"799, Gujarat",Maharashtra,INV00000011,2023-08-28,1101,Raw Material,9,pcs,1247,61689,5552,5552,0,61689,65996,UPI,1,TXN00000011,CIN001482->CIN001577,65996,2023-11-21,0,,CIN001482,CIN001577,65996,1,5552,5552,0,11104,False,11,1207,4,0,0
Company_510,CIN000510,GST000510,"488, Karnataka",West Bengal,Company_518,CIN000518,GST000518,"328, Delhi",Delhi,INV00000012,2023-02-17,9403,Furniture,2,box,1396,70967,6387,6387,13168,70967,73156,NEFT,1,TXN00000012,CIN000510->CIN000518,73156,2023-02-17,0,,CIN000510,CIN000518,73156,1,6387,6387,13168,25942,False,12,1303,2,4,0
Company_1752,CIN001752,GST001752,"846, Maharashtra",Karnataka,Company_1387,CIN001387,GST001387,"486, Gujarat",Uttar Pradesh,INV00000013,2023-01-21,8471,Laptop,9,pcs,1912,8266,743,743,1600,8266,8893,NEFT,0,TXN00000013,CIN001752->CIN001387,8893,2023-03-28,0,,CIN001752,CIN001387,8893,0,743,743,1600,3086,False,13,1350,2,1,0
Company_824,CIN000824,GST000824,"337, West Bengal",West Bengal,Company_1606,CIN001606,GST001606,"204, Karnataka",West Bengal,INV00000014,2023-03-05,8471,Laptop,7,box,7519,54299,4886,4886,10107,54299,56153,Cash,1,TXN00000014,CIN000824->CIN001606,56153,2023-06-24,0,,CIN000824,CIN001606,56153,1,4886,4886,10107,19879,False,14,1087,0,1,0
Company_1788,CIN001788,GST001788,"693, Gujarat",Tamil Nadu,Company_614,CIN000614,GST000614,"727, Gujarat",West Bengal,INV00000015,2023-03-24,8471,Laptop,4,kg,7453,57897,5210,5210,0,57897,62363,Cheque,1,TXN00000015,CIN001788->CIN000614,62363,2023-09-25,0,,CIN001788,CIN000614,62363,1,5210,5210,0,10420,False,15,374,1,1,0
Company_169,CIN000169,GST000169,"492, West Bengal",Delhi,Company_846,CIN000846,GST000846,"157, West Bengal",Uttar Pradesh,INV00000016,2023-01-13,8471,Laptop,146,ltr,6544,1143074,102876,102876,0,1143074,1170924,NEFT,1,TXN00000016,CIN000169->CIN000846,1170924,2023-07-17,1,Dummy Buyer,CIN000169,CIN000846,1170924,1,102876,102876,0,205752,True,16,1862,2,1,0
Company_1741,CIN001741,GST001741,"224, Tamil Nadu",Gujarat,Company_115,CIN000115,GST000115,"690, Delhi",Maharashtra,INV00000017,2023-03-15,8517,Mobile,1,pcs,5783,19434,1749,1749,0,19434,20192,Cash,0,TXN00000017,CIN001741->CIN000115,20192,2023-05-30,0,,CIN001741,CIN000115,20192,0,1749,1749,0,3498,False,17,212,0,2,0
Company_882,CIN000882,GST000882,"395, Tamil Nadu",West Bengal,Company_937,CIN000937,GST000937,"699, Gujarat",Delhi,INV00000018,2023-11-12,8471,Laptop,4,kg,876,78898,7100,7100,16666,78898,92589,NEFT,0,TXN00000018,CIN000882->CIN000937,92589,2023-05-15,0,,CIN000882,CIN000937,92589,0,7100,7100,16666,30866,False,18,1286,2,1,0
Company_247,CIN000247,GST000247,"514, West Bengal",Karnataka,Company_176,CIN000176,GST000176,"300, Gujarat",West Bengal,INV00000019,2023-08-04,8471,Laptop,140,kg,6479,1065276,95874,95874,0,1065276,1242802,Cash,1,TXN00000019,CIN000247->CIN000176,1242802,2023-02-08,1,Dummy Buyer,CIN000247,CIN000176,1242802,1,95874,95874,0,191748,True,19,1483,0,1,0
Company_1659,CIN001659,GST001659,"408, Karnataka",Tamil Nadu,Company_857,CIN000857,GST000857,"912, Gujarat",Maharashtra,INV00000020,2023-10-12,8517,Mobile,129,ltr,7971,723513,65116,65116,0,723513,828648,Cheque,1,TXN00000020,CIN001659->CIN000857,828648,2023-08-21,1,Dummy Buyer,CIN001659,CIN000857,828648,1,65116,65116,0,130232,True,20,1288,1,2,0
Company_769,CIN000769,GST000769,"396, Karnataka",Gujarat,Company_807,CIN000807,GST000807,"393, Gujarat",Gujarat,INV00000021,2023-07-27,8517,Mobile,3,pcs,3469,54937,4944,4944,0,54937,64360,Cheque,1,TXN00000021,CIN000769->CIN000807,64360,2023-02-23,0,,CIN000769,CIN000807,64360,1,4944,4944,0,9888,False,21,1525,1,2,0
Company_651,CIN000651,GST000651,"156, Tamil Nadu",Uttar Pradesh,Company_1892,CIN001892,GST001892,"647, West Bengal",Tamil Nadu,INV00000022,2023-03-17,8471,Laptop,9,box,8266,47757,4298,4298,0,47757,55063,UPI,1,TXN00000022,CIN000651->CIN001892,55063,2023-10-21,0,,CIN000651,CIN001892,55063,1,4298,4298,0,8596,False,22,1942,4,1,0
Company_970,CIN000970,GST000970,"515, Gujarat",West Bengal,Company_510,CIN000510,GST000510,"488, Karnataka",West Bengal,INV00000023,2023-06-05,8471,Laptop,8,kg,442,94279,8485,8485,17676,94279,98205,UPI,0,TXN00000023,CIN000970->CIN000510,98205,2023-09-26,0,,CIN000970,CIN000510,98205,0,8485,8485,17676,34646,False,23,12,4,1,0
Company_1457,CIN001457,GST001457,"453, Maharashtra",Tamil Nadu,Company_204,CIN000204,GST000204,"40, Maharashtra",Karnataka,INV00000024,2023-04-10,9403,Furniture,6,ltr,6604,19304,1737,1737,3873,19304,21518,UPI,1,TXN00000024,CIN001457->CIN000204,21518,2023-08-29,0,,CIN001457,CIN000204,21518,1,1737,1737,3873,7347,False,24,1366,4,4,0
Company_408,CIN000408,GST000408,"520, Uttar Pradesh",Tamil Nadu,Company_1038,CIN001038,GST001038,"113, Uttar Pradesh",West Bengal,INV00000025,2023-07-24,8471,Laptop,7,kg,3106,79323,7139,7139,0,79323,88923,RTGS,1,TXN00000025,CIN000408->CIN001038,88923,2023-08-13,0,,CIN000408,CIN001038,88923,1,7139,7139,0,14278,False,25,854,3,1,0
Company_830,CIN000830,GST000830,"145, Uttar Pradesh",Uttar Pradesh,Company_593,CIN000593,GST000593,"271, Delhi",Maharashtra,INV00000026,2023-06-11,8471,Laptop,14,kg,1067,56388,5074,5074,0,56388,66190,NEFT,0,TXN00000026,CIN000830->CIN000593,66190,2023-08-29,0,,CIN000830,CIN000593,66190,0,5074,5074,0,10148,False,26,908,2,1,0
Company_213,CIN000213,GST000213,"97, Delhi",Tamil Nadu,Company_393,CIN000393,GST000393,"552, West Bengal",Delhi,INV00000027,2023-09-04,9403,Furniture,12,box,1836,72314,6508,6508,0,72314,75668,UPI,1,TXN00000027,CIN000213->CIN000393,75668,2023-10-25,0,,CIN000213,CIN000393,75668,1,6508,6508,0,13016,False,27,754,4,4,0
Company_159,CIN000159,GST000159,"571, Gujarat",Delhi,Company_1592,CIN001592,GST001592,"892, West Bengal",Delhi,INV00000028,2023-11-19,8471,Laptop,10,pcs,5335,71523,6437,6437,0,71523,75893,Cheque,1,TXN00000028,CIN000159->CIN001592,75893,2023-01-01,0,,CIN000159,CIN001592,75893,1,6437,6437,0,12874,False,28,893,1,1,0
Company_1642,CIN001642,GST001642,"913, Karnataka",Delhi,Company_1249,CIN001249,GST001249,"260, Uttar Pradesh",Tamil Nadu,INV00000029,2023-05-06,8471,Laptop,5,box,8564,88545,7969,7969,16454,88545,91416,RTGS,0,TXN00000029,CIN001642->CIN001249,91416,2023-08-28,0,,CIN001642,CIN001249,91416,0,7969,7969,16454,32392,False,29,936,3,1,0
Company_1832,CIN001832,GST001832,"638, Uttar Pradesh",Tamil Nadu,Company_1994,CIN001994,GST001994,"817, Delhi",Tamil Nadu,INV00000030,2023-10-07,8523,Software License,12,box,1763,5642,507,507,0,5642,6612,RTGS,0,TXN00000030,CIN001832->CIN001994,6612,2023-05-12,0,,CIN001832,CIN001994,6612,0,507,507,0,1014,False,30,741,3,3,0
Company_784,CIN000784,GST000784,"249, Uttar Pradesh",Delhi,Company_1156,CIN001156,GST001156,"101, Gujarat",Tamil Nadu,INV00000031,2023-05-19,8517,Mobile,11,pcs,2561,49197,4427,4427,10226,49197,56815,Cash,1,TXN00000031,CIN000784->CIN001156,56815,2023-03-13,0,,CIN000784,CIN001156,56815,1,4427,4427,10226,19080,False,31,1961,0,2,0
Company_1031,CIN001031,GST001031,"768, Uttar Pradesh",Maharashtra,Company_1801,CIN001801,GST001801,"181, Karnataka",Tamil Nadu,INV00000032,2023-07-24,9403,Furniture,7,box,6757,75467,6792,6792,0,75467,79914,Cash,1,TXN00000032,CIN001031->CIN001801,79914,2023-06-07,0,,CIN001031,CIN001801,79914,1,6792,6792,0,13584,False,32,1767,0,4,0
Company_156,CIN000156,GST000156,"687, Delhi",Tamil Nadu,Company_689,CIN000689,GST000689,"593, Karnataka",West Bengal,INV00000033,2023-08-23,8517,Mobile,14,ltr,9293,15829,1424,1424,3126,15829,17368,Cash,0,TXN00000033,CIN000156->CIN000689,17368,2023-07-20,0,,CIN000156,CIN000689,17368,0,1424,1424,3126,5974,False,33,195,0,2,0
Company_6,CIN000006,GST000006,"954, Delhi",Gujarat,Company_399,CIN000399,GST000399,"772, Maharashtra",Karnataka,INV00000034,2023-04-26,8523,Software License,12,kg,7580,79875,7188,7188,0,79875,91922,UPI,1,TXN00000034,CIN000006->CIN000399,91922,2023-01-23,0,,CIN000006,CIN000399,91922,1,7188,7188,0,14376,False,34,1480,4,3,0
Company_1029,CIN001029,GST001029,"823, Delhi",Delhi,Company_1995,CIN001995,GST001995,"69, West Bengal",Delhi,INV00000035,2023-09-29,8471,Laptop,8,pcs,9925,73181,6586,6586,0,73181,80793,RTGS,1,TXN00000035,CIN001029->CIN001995,80793,2023-11-19,0,,CIN001029,CIN001995,80793,1,6586,6586,0,13172,False,35,1893,3,1,0
Company_497,CIN000497,GST000497,"526, Maharashtra",West Bengal,Company_1267,CIN001267,GST001267,"749, Tamil Nadu",Uttar Pradesh,INV00000036,2023-07-12,8523,Software License,2,pcs,1872,58500,5265,5265,0,58500,65761,NEFT,1,TXN00000036,CIN000497->CIN001267,65761,2023-03-22,0,,CIN000497,CIN001267,65761,1,5265,5265,0,10530,False,36,306,2,3,0
Company_1826,CIN001826,GST001826,"378, Delhi",Gujarat,Company_780,CIN000780,GST000780,"706, Tamil Nadu",West Bengal,INV00000037,2023-11-26,8523,Software License,159,box,9936,1234770,111129,111129,0,1234770,1435254,RTGS,1,TXN00000037,CIN001826->CIN000780,1435254,2023-08-15,1,Fake Invoice,CIN001826,CIN000780,1435254,1,111129,111129,0,222258,True,37,1678,3,3,0
Company_228,CIN000228,GST000228,"245, West Bengal",Karnataka,Company_1947,CIN001947,GST001947,"756, Karnataka",Uttar Pradesh,INV00000038,2023-07-10,1101,Raw Material,9,box,8927,16987,1528,1528,0,16987,18288,UPI,1,TXN00000038,CIN000228->CIN001947,18288,2023-02-22,0,,CIN000228,CIN001947,18288,1,1528,1528,0,3056,False,38,599,4,0,0
Company_678,CIN000678,GST000678,"707, Gujarat",Tamil Nadu,Company_928,CIN000928,GST000928,"13, Uttar Pradesh",Uttar Pradesh,INV00000039,2023-08-26,8517,Mobile,11,pcs,4152,44038,3963,3963,8146,44038,45259,Cash,0,TXN00000039,CIN000678->CIN000928,45259,2023-09-16,0,,CIN000678,CIN000928,45259,0,3963,3963,8146,16072,False,39,370,0,2,0
Company_1250,CIN001250,GST001250,"91, Gujarat",West Bengal,Company_1650,CIN001650,GST001650,"212, Karnataka",Maharashtra,INV00000040,2023-11-08,1101,Raw Material,5,kg,7676,1122742,101046,101046,220419,1122742,1224554,NEFT,1,TXN00000040,CIN001250->CIN001650,1224554,2023-11-15,1,High Amount,CIN001250,CIN001650,1224554,1,101046,101046,220419,422511,True,40,422,2,0,0
Company_87,CIN000087,GST000087,"772, Tamil Nadu",Maharashtra,Company_289,CIN000289,GST000289,"638, Delhi",West Bengal,INV00000041,2023-07-30,8471,Laptop,14,ltr,6943,36099,3248,3248,0,36099,41009,UPI,0,TXN00000041,CIN000087->CIN000289,41009,2023-07-21,0,,CIN000087,CIN000289,41009,0,3248,3248,0,6496,False,41,102,4,1,0
Company_632,CIN000632,GST000632,"997, Karnataka",Karnataka,Company_416,CIN000416,GST000416,"404, Delhi",Maharashtra,INV00000042,2023-09-20,9403,Furniture,5,box,2590,87905,7911,7911,0,87905,99592,UPI,1,TXN00000042,CIN000632->CIN000416,99592,2023-07-09,0,,CIN000632,CIN000416,99592,1,7911,7911,0,15822,False,42,10,4,4,0
Company_526,CIN000526,GST000526,"904, Delhi",Delhi,Company_508,CIN000508,GST000508,"257, Maharashtra",Delhi,INV00000043,2023-05-14,8471,Laptop,1,kg,2772,44648,4018,4018,0,44648,49710,Cash,1,TXN00000043,CIN000526->CIN000508,49710,2023-04-17,0,,CIN000526,CIN000508,49710,1,4018,4018,0,8036,False,43,1120,0,1,0
Company_1594,CIN001594,GST001594,"350, Uttar Pradesh",Uttar Pradesh,Company_885,CIN000885,GST000885,"188, Delhi",Delhi,INV00000044,2023-02-27,9403,Furniture,126,pcs,2809,884032,79562,79562,173563,884032,964239,Cash,1,TXN00000044,CIN001594->CIN000885,964239,2023-01-26,1,Fake Invoice,CIN001594,CIN000885,964239,1,79562,79562,173563,332687,True,44,1561,0,4,0
Company_1458,CIN001458,GST001458,"141, Gujarat",Uttar Pradesh,Company_1378,CIN001378,GST001378,"736, Tamil Nadu",Tamil Nadu,INV00000045,2023-06-29,9403,Furniture,103,pcs,1886,1221462,109931,109931,0,1221462,1365972,UPI,1,TXN00000045,CIN001458->CIN001378,1365972,2023-04-16,1,Fake Invoice,CIN001458,CIN001378,1365972,1,109931,109931,0,219862,True,45,144,4,4,0
Company_1178,CIN001178,GST001178,"697, Karnataka",Maharashtra,Company_1699,CIN001699,GST001699,"713, Karnataka",West Bengal,INV00000046,2023-10-13,1101,Raw Material,6,ltr,4385,81621,7345,7345,0,81621,83411,Cash,0,TXN00000046,CIN001178->CIN001699,83411,2023-01-25,0,,CIN001178,CIN001699,83411,0,7345,7345,0,14690,False,46,1550,0,0,0
Company_168,CIN000168,GST000168,"989, Gujarat",Tamil Nadu,Company_516,CIN000516,GST000516,"475, Delhi",Uttar Pradesh,INV00000047,2023-06-12,8471,Laptop,13,pcs,1772,60385,5434,5434,0,60385,67540,NEFT,0,TXN00000047,CIN000168->CIN000516,67540,2023-10-19,0,,CIN000168,CIN000516,67540,0,5434,5434,0,10868,False,47,796,2,1,0
Company_788,CIN000788,GST000788,"263, Delhi",Karnataka,Company_1705,CIN001705,GST001705,"603, Uttar Pradesh",Gujarat,INV00000048,2023-01-06,8523,Software License,6,kg,7378,72685,6541,6541,14578,72685,80992,UPI,1,TXN00000048,CIN000788->CIN001705,80992,2023-09-12,0,,CIN000788,CIN001705,80992,1,6541,6541,14578,27660,False,48,86,4,3,0
Company_1139,CIN001139,GST001139,"272, West Bengal",Uttar Pradesh,Company_1715,CIN001715,GST001715,"455, Tamil Nadu",Gujarat,INV00000049,2023-01-11,8471,Laptop,5,kg,7602,39528,3557,3557,0,39528,40940,Cheque,1,TXN00000049,CIN001139->CIN001715,40940,2023-05-01,0,,CIN001139,CIN001715,40940,1,3557,3557,0,7114,False,49,1609,1,1,0
Company_1168,CIN001168,GST001168,"658, Delhi",West Bengal,Company_219,CIN000219,GST000219,"151, Tamil Nadu",Delhi,INV00000050,2023-05-19,9403,Furniture,6,ltr,2777,14740,1326,1326,0,14740,16993,UPI,1,TXN00000050,CIN001168->CIN000219,16993,2023-03-19,0,,CIN001168,CIN000219,16993,1,1326,1326,0,2652,False,50,1069,4,4,0
Company_700,CIN000700,GST000700,"432, Gujarat",Uttar Pradesh,Company_689,CIN000689,GST000689,"593, Karnataka",West Bengal,INV00000051,2023-06-20,8523,Software License,5,box,5521,11097,998,998,0,11097,12287,NEFT,0,TXN00000051,CIN000700->CIN000689,12287,2023-07-18,0,,CIN000700,CIN000689,12287,0,998,998,0,1996,False,51,195,2,3,0
Company_134,CIN000134,GST000134,"149, Gujarat",Delhi,Company_229,CIN000229,GST000229,"179, Delhi",Tamil Nadu,INV00000052,2023-04-20,8471,Laptop,13,ltr,372,60961,5486,5486,0,60961,70879,Cash,1,TXN00000052,CIN000134->CIN000229,70879,2023-02-01,0,,CIN000134,CIN000229,70879,1,5486,5486,0,10972,False,52,414,0,1,0
Company_104,CIN000104,GST000104,"150, Delhi",West Bengal,Company_1492,CIN001492,GST001492,"5, Gujarat",West Bengal,INV00000053,2023-10-17,8523,Software License,8,kg,8115,21544,1938,1938,0,21544,23624,Cash,1,TXN00000053,CIN000104->CIN001492,23624,2023-10-24,0,,CIN000104,CIN001492,23624,1,1938,1938,0,3876,False,53,1599,0,3,0
Company_1341,CIN001341,GST001341,"5, West Bengal",Delhi,Company_1650,CIN001650,GST001650,"212, Karnataka",Maharashtra,INV00000054,2023-06-16,8471,Laptop,12,ltr,9692,18061,1625,1625,0,18061,19326,UPI,1,TXN00000054,CIN001341->CIN001650,19326,2023-02-13,0,,CIN001341,CIN001650,19326,1,1625,1625,0,3250,False,54,422,4,1,0
Company_698,CIN000698,GST000698,"366, West Bengal",Gujarat,Company_1505,CIN001505,GST001505,"696, West Bengal",Uttar Pradesh,INV00000055,2023-05-20,8471,Laptop,6,pcs,2207,43654,3928,3928,9146,43654,50814,Cash,1,TXN00000055,CIN000698->CIN001505,50814,2023-08-03,0,,CIN000698,CIN001505,50814,1,3928,3928,9146,17002,False,9,1861,0,1,0
Company_828,CIN000828,GST000828,"773, Gujarat",West Bengal,Company_152,CIN000152,GST000152,"288, Delhi",West Bengal,INV00000056,2023-06-05,1101,Raw Material,158,pcs,5379,557742,50196,50196,0,557742,595122,NEFT,1,TXN00000056,CIN000828->CIN000152,595122,2023-11-05,1,Round Tripping,CIN000828,CIN000152,595122,1,50196,50196,0,100392,True,55,75,2,0,0
Company_1551,CIN001551,GST001551,"79, Uttar Pradesh",Maharashtra,Company_1009,CIN001009,GST001009,"458, Uttar Pradesh",Tamil Nadu,INV00000057,2023-01-22,8523,Software License,10,kg,471,59502,5355,5355,0,59502,65146,Cheque,0,TXN00000057,CIN001551->CIN001009,65146,2023-10-27,0,,CIN001551,CIN001009,65146,0,5355,5355,0,10710,False,56,831,1,3,0
Company_1773,CIN001773,GST001773,"451, Karnataka",Uttar Pradesh,Company_2,CIN000002,GST000002,"113, Maharashtra",Maharashtra,INV00000058,2023-05-09,8523,Software License,12,ltr,8293,90734,8166,8166,0,90734,97557,Cheque,1,TXN00000058,CIN001773->CIN000002,97557,2023-08-31,0,,CIN001773,CIN000002,97557,1,8166,8166,0,16332,False,57,880,1,3,0
Company_1153,CIN001153,GST001153,"721, Delhi",Karnataka,Company_484,CIN000484,GST000484,"214, West Bengal",Maharashtra,INV00000059,2023-11-12,8471,Laptop,1,kg,5764,48163,4334,4334,10018,48163,55658,RTGS,1,TXN00000059,CIN001153->CIN000484,55658,2023-02-14,0,,CIN001153,CIN000484,55658,1,4334,4334,10018,18686,False,58,756,3,1,0
Company_1071,CIN001071,GST001071,"162, Maharashtra",Gujarat,Company_47,CIN000047,GST000047,"379, Delhi",Gujarat,INV00000060,2023-06-10,9403,Furniture,13,ltr,3422,33690,3032,3032,6561,33690,36454,Cash,0,TXN00000060,CIN001071->CIN000047,36454,2023-02-07,0,,CIN001071,CIN000047,36454,0,3032,3032,6561,12625,False,59,1296,0,4,0
Company_1121,CIN001121,GST001121,"239, Gujarat",Maharashtra,Company_687,CIN000687,GST000687,"25, Maharashtra",Gujarat,INV00000061,2023-09-09,8517,Mobile,116,kg,1159,1267571,114081,114081,0,1267571,1431504,RTGS,1,TXN00000061,CIN001121->CIN000687,1431504,2023-09-13,1,Dummy Buyer,CIN001121,CIN000687,1431504,1,114081,114081,0,228162,True,60,1058,3,2,0
Company_15,CIN000015,GST000015,"970, Delhi",West Bengal,Company_1013,CIN001013,GST001013,"867, Gujarat",West Bengal,INV00000062,2023-03-19,8471,Laptop,125,kg,3119,671276,60414,60414,0,671276,711715,RTGS,1,TXN00000062,CIN000015->CIN001013,711715,2023-05-20,1,Dummy Buyer,CIN000015,CIN001013,711715,1,60414,60414,0,120828,True,61,1723,3,1,0
Company_677,CIN000677,GST000677,"645, Delhi",Maharashtra,Company_398,CIN000398,GST000398,"793, Maharashtra",Uttar Pradesh,INV00000063,2023-09-03,8523,Software License,5,ltr,6876,81458,7331,7331,0,81458,84976,UPI,0,TXN00000063,CIN000677->CIN000398,84976,2023-03-21,0,,CIN000677,CIN000398,84976,0,7331,7331,0,14662,False,62,1056,4,3,0
Company_7,CIN000007,GST000007,"101, Maharashtra",Uttar Pradesh,Company_1571,CIN001571,GST001571,"768, West Bengal",West Bengal,INV00000064,2023-04-24,8471,Laptop,9,kg,9711,11813,1063,1063,0,11813,13642,Cash,0,TXN00000064,CIN000007->CIN001571,13642,2023-08-20,0,,CIN000007,CIN001571,13642,0,1063,1063,0,2126,False,63,687,0,1,0
Company_1010,CIN001010,GST001010,"774, Maharashtra",West Bengal,Company_1114,CIN001114,GST001114,"128, Maharashtra",Karnataka,INV00000065,2023-11-19,1101,Raw Material,10,box,2297,64765,5828,5828,0,64765,74022,Cash,1,TXN00000065,CIN001010->CIN001114,74022,2023-03-30,0,,CIN001010,CIN001114,74022,1,5828,5828,0,11656,False,64,1282,0,0,0
Company_1302,CIN001302,GST001302,"869, West Bengal",Karnataka,Company_359,CIN000359,GST000359,"491, Gujarat",Gujarat,INV00000066,2023-11-14,8517,Mobile,12,ltr,275,31116,2800,2800,0,31116,31863,Cheque,1,TXN00000066,CIN001302->CIN000359,31863,2023-02-10,0,,CIN001302,CIN000359,31863,1,2800,2800,0,5600,False,65,1147,1,2,0
Company_771,CIN000771,GST000771,"363, Gujarat",Gujarat,Company_1294,CIN001294,GST001294,"537, Delhi",Gujarat,INV00000067,2023-10-24,8517,Mobile,10,pcs,3212,1001208,90108,90108,0,1001208,1039259,NEFT,1,TXN00000067,CIN000771->CIN001294,1039259,2023-02-11,1,High Amount,CIN000771,CIN001294,1039259,1,90108,90108,0,180216,True,66,293,2,2,0
Company_558,CIN000558,GST000558,"229, Karnataka",West Bengal,Company_1876,CIN001876,GST001876,"773, Gujarat",West Bengal,INV00000068,2023-11-23,8517,Mobile,11,kg,3444,83447,7510,7510,0,83447,95648,RTGS,1,TXN00000068,CIN000558->CIN001876,95648,2023-10-27,0,,CIN000558,CIN001876,95648,1,7510,7510,0,15020,False,67,1305,3,2,0
