company_cin,company_gid,num_invoices_sent,total_sent_amount,avg_sent_amount,total_itc_sent,num_suspicious_sent,num_fraud_invoices_sent,unique_buyers,num_invoices_received,total_received_amount,avg_received_amount,total_itc_received,num_suspicious_received,num_fraud_invoices_received,unique_suppliers,total_invoices,total_amount_all,avg_invoice_amount_all,total_itc_all,num_fraud_invoices,num_suspicious_flags,unique_partners,itc_ratio,company_name,state,address,pagerank,clustering_coeff,in_degree,out_degree,label
CIN001788,15,5.0,325102.0,65020.4,2.0,0.0,0.0,5.0,5.0,772289.0,154457.8,4.0,1.0,1.0,5.0,10.0,1097391.0,109739.09999999999,6.0,1.0,1.0,10.0,5.4675134022422276e-06,Company_1788,Tamil Nadu,"693, Gujarat",0.00034915856924418783,0.0,5,5,1
CIN000169,16,5.0,1278128.0,255625.6,4.0,1.0,1.0,5.0,6.0,2269251.0,378208.5,6.0,1.0,1.0,6.0,11.0,3547379.0,316917.05,10.0,2.0,2.0,11.0,2.8189826911643778e-06,Company_169,Delhi,"492, West Bengal",0.0006444075450638297,0.0,6,5,1
CIN001741,17,10.0,1662287.0,166228.7,8.0,1.0,1.0,10.0,6.0,3738963.0,623160.5,6.0,2.0,2.0,6.0,16.0,5401250.0,394694.6,14.0,3.0,3.0,16.0,2.591992594306873e-06,Company_1741,Gujarat,"224, Tamil Nadu",0.0005693327207499031,0.008333333333333333,6,10,1
CIN000882,18,6.0,371172.0,61862.0,5.0,0.0,0.0,6.0,6.0,2744151.0,457358.5,4.0,2.0,2.0,6.0,12.0,3115323.0,259610.25,9.0,2.0,2.0,12.0,2.8889460258213996e-06,Company_882,West Bengal,"395, Tamil Nadu",0.0004876725374954946,0.0,6,6,1
CIN000247,19,10.0,3043056.0,304305.6,8.0,2.0,2.0,10.0,1.0,81842.0,81842.0,1.0,0.0,0.0,1.0,11.0,3124898.0,193073.8,9.0,2.0,2.0,11.0,2.8800940062683644e-06,Company_247,Karnataka,"514, West Bengal",0.00019103330861101767,0.01818181818181818,1,10,1
CIN001659,20,6.0,2246996.0,374499.3333333333,6.0,2.0,2.0,6.0,12.0,4043995.0,336999.5833333333,9.0,3.0,3.0,12.0,18.0,6290991.0,355749.4583333333,15.0,5.0,5.0,18.0,2.3843620186390348e-06,Company_1659,Tamil Nadu,"408, Karnataka",0.0009202858184347941,0.0,12,6,1
CIN000769,21,7.0,3113724.0,444817.71428571426,7.0,2.0,2.0,7.0,4.0,1575051.0,393762.75,2.0,1.0,1.0,4.0,11.0,4688775.0,419290.23214285716,9.0,3.0,3.0,11.0,1.9194779020106532e-06,Company_769,Gujarat,"396, Karnataka",0.00043059416792893526,0.0,4,7,1
CIN000651,22,13.0,1304949.0,100380.69230769231,11.0,1.0,1.0,13.0,3.0,1980371.0,660123.6666666666,3.0,1.0,1.0,3.0,16.0,3285320.0,380252.1794871795,14.0,2.0,2.0,16.0,4.2613809309291024e-06,Company_651,Uttar Pradesh,"156, Tamil Nadu",0.00024064609880578852,0.008333333333333333,3,13,1
CIN000970,23,6.0,433927.0,72321.16666666667,3.0,0.0,0.0,6.0,5.0,1801951.0,360390.2,3.0,1.0,1.0,5.0,11.0,2235878.0,216355.68333333335,6.0,1.0,1.0,11.0,2.6835095653698456e-06,Company_970,West Bengal,"515, Gujarat",0.0004503683481610932,0.01818181818181818,5,6,1
CIN001457,24,8.0,368129.0,46016.125,6.0,0.0,0.0,8.0,6.0,1636789.0,272798.1666666667,5.0,1.0,1.0,6.0,14.0,2004918.0,159407.14583333334,11.0,1.0,1.0,14.0,5.486508675167763e-06,Company_1457,Tamil Nadu,"453, Maharashtra",0.0004942392631946504,0.01098901098901099,6,8,1
CIN000408,25,4.0,258585.0,64646.25,4.0,0.0,0.0,4.0,5.0,307561.0,61512.2,3.0,0.0,0.0,5.0,9.0,566146.0,63079.225,7.0,0.0,0.0,9.0,1.2364301787878039e-05,Company_408,Tamil Nadu,"520, Uttar Pradesh",0.0002998600407912094,0.027777777777777776,5,4,0
CIN000830,26,11.0,5329225.0,484475.0,9.0,4.0,4.0,11.0,4.0,218778.0,54694.5,1.0,0.0,0.0,4.0,15.0,5548003.0,269584.75,10.0,4.0,4.0,15.0,1.8024503591652709e-06,Company_830,Uttar Pradesh,"145, Uttar Pradesh",0.0004544454134733204,0.01904761904761905,4,11,1
CIN000213,27,5.0,215492.0,43098.4,5.0,0.0,0.0,5.0,7.0,267101.0,38157.28571428572,4.0,0.0,0.0,7.0,12.0,482593.0,40627.84285714286,9.0,0.0,0.0,12.0,1.8649255169469925e-05,Company_213,Tamil Nadu,"97, Delhi",0.0007898523048321725,0.0,7,5,0
CIN000159,28,4.0,171691.0,42922.75,2.0,0.0,0.0,4.0,2.0,73296.0,36648.0,1.0,0.0,0.0,2.0,6.0,244987.0,39785.375,3.0,0.0,0.0,6.0,1.2245547722940401e-05,Company_159,Delhi,"571, Gujarat",0.00024182218524118967,0.0,2,4,0
CIN001642,29,3.0,226874.0,75624.66666666667,2.0,0.0,0.0,3.0,5.0,1107413.0,221482.6,4.0,1.0,1.0,5.0,8.0,1334287.0,148553.63333333333,6.0,1.0,1.0,8.0,4.496783675476116e-06,Company_1642,Delhi,"913, Karnataka",0.00043528732220202084,0.0,5,3,1
CIN001832,30,6.0,1673500.0,278916.6666666667,5.0,1.0,1.0,6.0,4.0,4253852.0,1063463.0,4.0,3.0,3.0,4.0,10.0,5927352.0,671189.8333333334,9.0,4.0,4.0,10.0,1.5183846007458305e-06,Company_1832,Tamil Nadu,"638, Uttar Pradesh",0.00036788963732639125,0.0,4,6,1
CIN000784,31,4.0,235511.0,58877.75,3.0,0.0,0.0,4.0,4.0,281238.0,70309.5,4.0,0.0,0.0,4.0,8.0,516749.0,64593.625,7.0,0.0,0.0,8.0,1.3546228439726056e-05,Company_784,Delhi,"249, Uttar Pradesh",0.000360385735223169,0.0,4,4,0
CIN001031,32,7.0,2853895.0,407699.28571428574,6.0,2.0,2.0,7.0,7.0,1512855.0,216122.14285714287,6.0,1.0,1.0,7.0,14.0,4366750.0,311910.7142857143,12.0,3.0,3.0,14.0,2.7480391595580237e-06,Company_1031,Maharashtra,"768, Uttar Pradesh",0.0006769827525544699,0.0,7,7,1
CIN000156,33,9.0,2248881.0,249875.66666666666,4.0,1.0,1.0,9.0,4.0,2485473.0,621368.25,4.0,3.0,3.0,4.0,13.0,4734354.0,435621.9583333333,8.0,4.0,4.0,13.0,1.6897764721438235e-06,Company_156,Tamil Nadu,"687, Delhi",0.000392768307399235,0.0,4,9,1
CIN000006,34,9.0,1100761.0,122306.77777777778,6.0,1.0,1.0,9.0,8.0,1542631.0,192828.875,7.0,1.0,1.0,8.0,17.0,2643392.0,157567.82638888888,13.0,2.0,2.0,17.0,4.9179236375081715e-06,Company_6,Gujarat,"954, Delhi",0.0007751290147134012,0.008333333333333333,8,9,1
CIN001029,35,6.0,412790.0,68798.33333333333,4.0,0.0,0.0,6.0,9.0,2616475.0,290719.44444444444,9.0,3.0,3.0,9.0,15.0,3029265.0,179758.88888888888,13.0,3.0,3.0,15.0,4.2914700430632515e-06,Company_1029,Delhi,"823, Delhi",0.0006877728107775586,0.0,9,6,1
CIN000497,36,8.0,425238.0,53154.75,6.0,0.0,0.0,8.0,4.0,870957.0,217739.25,2.0,1.0,1.0,4.0,12.0,1296195.0,135447.0,8.0,1.0,1.0,12.0,6.171910862177373e-06,Company_497,West Bengal,"526, Maharashtra",0.0003958868589270043,0.0,4,8,1
CIN001826,37,9.0,1879403.0,208822.55555555556,6.0,1.0,1.0,9.0,8.0,3714218.0,464277.25,5.0,2.0,2.0,8.0,17.0,5593621.0,336549.90277777775,11.0,3.0,3.0,17.0,1.9665257978686793e-06,Company_1826,Gujarat,"378, Delhi",0.0008451552090779425,0.0,8,9,1
CIN000228,38,6.0,274078.0,45679.666666666664,6.0,0.0,0.0,6.0,5.0,278169.0,55633.8,2.0,0.0,0.0,5.0,11.0,552247.0,50656.73333333334,8.0,0.0,0.0,11.0,1.4486271541538478e-05,Company_228,Karnataka,"245, West Bengal",0.00038692089969832703,0.01818181818181818,5,6,0
CIN000678,39,6.0,278998.0,46499.666666666664,5.0,0.0,0.0,6.0,3.0,2148608.0,716202.6666666666,2.0,2.0,2.0,3.0,9.0,2427606.0,381351.1666666666,7.0,2.0,2.0,9.0,2.8834992169239983e-06,Company_678,Tamil Nadu,"707, Gujarat",0.0002678521566990385,0.027777777777777776,3,6,1
CIN001250,40,2.0,1301847.0,650923.5,1.0,1.0,1.0,2.0,4.0,1854891.0,463722.75,3.0,1.0,1.0,4.0,6.0,3156738.0,557323.125,4.0,2.0,2.0,6.0,1.2671308166848184e-06,Company_1250,West Bengal,"91, Gujarat",0.0003927984873991784,0.0,4,2,1
CIN000087,41,5.0,1892260.0,378452.0,4.0,2.0,2.0,5.0,8.0,3882211.0,485276.375,7.0,3.0,3.0,8.0,13.0,5774471.0,431864.1875,11.0,5.0,5.0,13.0,1.9049364002347574e-06,Company_87,Maharashtra,"772, Tamil Nadu",0.0006902398839863846,0.01282051282051282,8,5,1
CIN000632,42,6.0,1257565.0,209594.16666666666,5.0,1.0,1.0,6.0,4.0,150990.0,37747.5,3.0,0.0,0.0,4.0,10.0,1408555.0,123670.83333333333,8.0,1.0,1.0,10.0,5.67957942714342e-06,Company_632,Karnataka,"997, Karnataka",0.00028999123987585206,0.0,4,6,1
CIN000526,43,9.0,276348.0,30705.333333333332,6.0,0.0,0.0,9.0,9.0,1028948.0,114327.55555555556,7.0,1.0,1.0,8.0,18.0,1305296.0,72516.44444444445,13.0,1.0,1.0,17.0,9.95942682732499e-06,Company_526,Delhi,"904, Delhi",0.0006547243521545902,0.0,8,9,1
CIN001594,44,13.0,3180052.0,244619.38461538462,7.0,2.0,2.0,13.0,6.0,918946.0,153157.66666666666,5.0,1.0,1.0,6.0,19.0,4098998.0,198888.52564102563,12.0,3.0,3.0,19.0,2.9275447316636894e-06,Company_1594,Uttar Pradesh,"350, Uttar Pradesh",0.0006057263641149898,0.011695906432748537,6,13,1
CIN001458,45,7.0,3534028.0,504861.14285714284,6.0,2.0,2.0,7.0,4.0,990392.0,247598.0,3.0,1.0,1.0,4.0,11.0,4524420.0,376229.5714285714,9.0,3.0,3.0,11.0,1.9892052461973025e-06,Company_1458,Uttar Pradesh,"141, Gujarat",0.00045250213003966797,0.01818181818181818,4,7,1
CIN001178,46,3.0,2016653.0,672217.6666666666,2.0,1.0,1.0,3.0,2.0,114195.0,57097.5,2.0,0.0,0.0,2.0,5.0,2130848.0,364657.5833333333,4.0,1.0,1.0,5.0,1.8771869227650213e-06,Company_1178,Maharashtra,"697, Karnataka",0.0002725400019527466,0.0,2,3,1
CIN000168,47,4.0,223224.0,55806.0,3.0,0.0,0.0,4.0,6.0,305877.0,50979.5,6.0,0.0,0.0,6.0,10.0,529101.0,53392.75,9.0,0.0,0.0,10.0,1.7009984861113475e-05,Company_168,Tamil Nadu,"989, Gujarat",0.000385795494545339,0.0,6,4,0
CIN000788,48,1.0,80992.0,80992.0,1.0,0.0,0.0,1.0,5.0,4677468.0,935493.6,5.0,3.0,3.0,5.0,6.0,4758460.0,508242.8,6.0,3.0,3.0,6.0,1.2609121438448573e-06,Company_788,Karnataka,"263, Delhi",0.0004545741037295765,0.0,5,1,1
CIN001139,49,5.0,278523.0,55704.6,4.0,0.0,0.0,5.0,5.0,298100.0,59620.0,3.0,0.0,0.0,5.0,10.0,576623.0,57662.3,7.0,0.0,0.0,10.0,1.2139647568688727e-05,Company_1139,Uttar Pradesh,"272, West Bengal",0.0003952459442321366,0.0,5,5,0
CIN001168,50,3.0,777125.0,259041.66666666666,3.0,1.0,1.0,3.0,4.0,1139335.0,284833.75,3.0,1.0,1.0,4.0,7.0,1916460.0,271937.7083333333,6.0,2.0,2.0,7.0,3.130772361541592e-06,Company_1168,West Bengal,"658, Delhi",0.0003439846780053364,0.0,4,3,1
CIN000700,51,7.0,1443323.0,206189.0,4.0,1.0,1.0,7.0,5.0,1290251.0,258050.2,5.0,1.0,1.0,5.0,12.0,2733574.0,232119.6,9.0,2.0,2.0,12.0,3.2923930356375937e-06,Company_700,Uttar Pradesh,"432, Gujarat",0.0005141791911416996,0.015151515151515152,5,7,1
CIN000134,52,6.0,2796730.0,466121.6666666667,5.0,2.0,2.0,6.0,8.0,3294169.0,411771.125,4.0,2.0,2.0,8.0,14.0,6090899.0,438946.3958333334,9.0,4.0,4.0,14.0,1.4776143882865239e-06,Company_134,Delhi,"149, Gujarat",0.0010307465304680995,0.01098901098901099,8,6,1
CIN000104,53,11.0,2453314.0,223028.54545454544,10.0,1.0,1.0,11.0,3.0,1348440.0,449480.0,3.0,2.0,2.0,3.0,14.0,3801754.0,336254.2727272727,13.0,3.0,3.0,14.0,3.419474274242889e-06,Company_104,West Bengal,"150, Delhi",0.0003623577173043252,0.0,3,11,1
CIN001341,54,5.0,275890.0,55178.0,4.0,0.0,0.0,5.0,8.0,3114246.0,389280.75,6.0,2.0,2.0,8.0,13.0,3390136.0,222229.375,10.0,2.0,2.0,13.0,2.9497341699566035e-06,Company_1341,Delhi,"5, West Bengal",0.0006035690499745359,0.0,8,5,1
CIN000828,55,7.0,2522023.0,360289.0,4.0,2.0,2.0,7.0,7.0,4578933.0,654133.2857142857,6.0,3.0,3.0,7.0,14.0,7100956.0,507211.14285714284,10.0,5.0,5.0,14.0,1.4082610848454772e-06,Company_828,West Bengal,"773, Gujarat",0.0004139456536608445,0.01098901098901099,7,7,1
CIN001551,56,6.0,244111.0,40685.166666666664,5.0,0.0,0.0,6.0,10.0,3455782.0,345578.2,9.0,2.0,2.0,10.0,16.0,3699893.0,193131.68333333335,14.0,2.0,2.0,16.0,3.7838932098847184e-06,Company_1551,Maharashtra,"79, Uttar Pradesh",0.0008463233008788397,0.03333333333333333,10,6,1
CIN001773,57,10.0,2930337.0,293033.7,9.0,2.0,2.0,10.0,2.0,2007840.0,1003920.0,2.0,1.0,1.0,2.0,12.0,4938177.0,648476.85,11.0,3.0,3.0,12.0,2.22754267414878e-06,Company_1773,Uttar Pradesh,"451, Karnataka",0.0002842635505206052,0.015151515151515152,2,10,1
CIN001153,58,4.0,1187306.0,296826.5,2.0,1.0,1.0,4.0,4.0,2540680.0,635170.0,4.0,2.0,2.0,4.0,8.0,3727986.0,465998.25,6.0,3.0,3.0,8.0,1.6094481041506056e-06,Company_1153,Karnataka,"721, Delhi",0.0002816434367552919,0.0,4,4,1
CIN001071,59,5.0,3869660.0,773932.0,4.0,2.0,2.0,5.0,7.0,2727921.0,389703.0,5.0,2.0,2.0,7.0,12.0,6597581.0,581817.5,9.0,4.0,4.0,12.0,1.3641363402738065e-06,Company_1071,Gujarat,"162, Maharashtra",0.0005907901289642257,0.015151515151515152,7,5,1
CIN001121,60,3.0,1490721.0,496907.0,2.0,1.0,1.0,3.0,8.0,1502552.0,187819.0,6.0,1.0,1.0,8.0,11.0,2993273.0,342363.0,8.0,2.0,2.0,11.0,2.672659660512088e-06,Company_1121,Maharashtra,"239, Gujarat",0.0006015535798043816,0.0,8,3,1
CIN000015,61,3.0,829069.0,276356.3333333333,3.0,1.0,1.0,3.0,4.0,976077.0,244019.25,4.0,1.0,1.0,4.0,7.0,1805146.0,260187.79166666666,7.0,2.0,2.0,7.0,3.8778026818883345e-06,Company_15,West Bengal,"970, Delhi",0.00043321830255932826,0.0,4,3,1
CIN000677,62,7.0,3144197.0,449171.0,4.0,2.0,2.0,7.0,6.0,3459192.0,576532.0,5.0,2.0,2.0,6.0,13.0,6603389.0,512851.5,9.0,4.0,4.0,13.0,1.3629365163857528e-06,Company_677,Maharashtra,"645, Delhi",0.00046179959273783705,0.0,6,7,1
CIN000007,63,10.0,2233740.0,223374.0,6.0,1.0,1.0,10.0,4.0,155984.0,38996.0,4.0,0.0,0.0,4.0,14.0,2389724.0,131185.0,10.0,1.0,1.0,14.0,4.184583659033428e-06,Company_7,Uttar Pradesh,"101, Maharashtra",0.0005443744416177217,0.0,4,10,1
CIN001010,64,13.0,3304776.0,254213.53846153847,11.0,2.0,2.0,12.0,2.0,100239.0,50119.5,2.0,0.0,0.0,2.0,15.0,3405015.0,152166.51923076925,13.0,2.0,2.0,14.0,3.817898012196716e-06,Company_1010,West Bengal,"774, Maharashtra",0.0004379655746046278,0.0,2,12,1
CIN001302,65,5.0,216969.0,43393.8,3.0,0.0,0.0,5.0,5.0,2074760.0,414952.0,4.0,1.0,1.0,5.0,10.0,2291729.0,229172.9,7.0,1.0,1.0,10.0,3.0544623731689042e-06,Company_1302,Karnataka,"869, West Bengal",0.00047838793039347855,0.0,5,5,1
CIN000771,66,4.0,1227372.0,306843.0,4.0,1.0,1.0,4.0,4.0,2483920.0,620980.0,4.0,2.0,2.0,4.0,8.0,3711292.0,463911.5,8.0,3.0,3.0,8.0,2.1555835541908315e-06,Company_771,Gujarat,"363, Gujarat",0.0002889379619889049,0.03571428571428571,4,4,1
CIN000558,67,7.0,2282301.0,326043.0,5.0,1.0,1.0,7.0,3.0,1942016.0,647338.6666666666,3.0,1.0,1.0,3.0,10.0,4224317.0,486690.8333333333,8.0,2.0,2.0,10.0,1.8937972694757519e-06,Company_558,West Bengal,"229, Karnataka",0.0004006647066322049,0.0,3,7,1
CIN000721,68,6.0,327089.0,54514.833333333336,4.0,0.0,0.0,6.0,4.0,1489878.0,372469.5,2.0,1.0,1.0,4.0,10.0,1816967.0,213492.16666666666,6.0,1.0,1.0,10.0,3.3022063691855714e-06,Company_721,Karnataka,"115, West Bengal",0.0002948245456254366,0.0,4,6,1
CIN000352,69,7.0,3684522.0,526360.2857142857,5.0,2.0,2.0,7.0,5.0,350057.0,70011.4,5.0,0.0,0.0,5.0,12.0,4034579.0,298185.84285714285,10.0,2.0,2.0,12.0,2.4785733530065964e-06,Company_352,Gujarat,"175, Tamil Nadu",0.0006569323735520799,0.0,5,7,1
CIN001303,70,7.0,291701.0,41671.57142857143,6.0,0.0,0.0,7.0,13.0,7285841.0,560449.3076923077,11.0,5.0,5.0,13.0,20.0,7577542.0,301060.4395604396,17.0,5.0,5.0,20.0,2.243471563733992e-06,Company_1303,Uttar Pradesh,"399, Delhi",0.0008550711360502079,0.005263157894736842,13,7,1
CIN001259,71,7.0,371853.0,53121.857142857145,6.0,0.0,0.0,7.0,7.0,1998129.0,285447.0,7.0,2.0,2.0,7.0,14.0,2369982.0,169284.42857142858,13.0,2.0,2.0,14.0,5.485273727817342e-06,Company_1259,Tamil Nadu,"165, Gujarat",0.0006668899467949499,0.0,7,7,1
CIN000194,72,5.0,1908181.0,381636.2,3.0,1.0,1.0,5.0,3.0,1283952.0,427984.0,2.0,1.0,1.0,3.0,8.0,3192133.0,404810.1,5.0,2.0,2.0,8.0,1.5663507754846053e-06,Company_194,Uttar Pradesh,"496, Uttar Pradesh",0.00024587931162729304,0.03571428571428571,3,5,1
CIN001959,73,5.0,1982828.0,396565.6,4.0,1.0,1.0,5.0,3.0,1152753.0,384251.0,3.0,1.0,1.0,3.0,8.0,3135581.0,390408.3,7.0,2.0,2.0,8.0,2.232441132919226e-06,Company_1959,Tamil Nadu,"161, Delhi",0.00025904597592248135,0.03571428571428571,3,5,1
CIN001768,74,8.0,1268454.0,158556.75,5.0,1.0,1.0,8.0,2.0,1351202.0,675601.0,2.0,1.0,1.0,2.0,10.0,2619656.0,417078.875,7.0,2.0,2.0,10.0,2.672106566663715e-06,Company_1768,Uttar Pradesh,"559, Maharashtra",0.00019967736192345057,0.0,2,8,1
CIN000152,75,8.0,2350329.0,293791.125,5.0,2.0,2.0,8.0,7.0,773183.0,110454.71428571429,6.0,1.0,1.0,7.0,15.0,3123512.0,202122.91964285716,11.0,3.0,3.0,15.0,3.521676881663973e-06,Company_152,West Bengal,"288, Delhi",0.0005664335777694464,0.009523809523809525,7,8,1
CIN000462,76,7.0,3018224.0,431174.85714285716,5.0,2.0,2.0,7.0,5.0,2165890.0,433178.0,4.0,1.0,1.0,5.0,12.0,5184114.0,432176.4285714286,9.0,3.0,3.0,12.0,1.7360729335813216e-06,Company_462,Maharashtra,"506, Uttar Pradesh",0.0003390805986674128,0.030303030303030304,5,7,1
CIN000711,77,6.0,2529618.0,421603.0,6.0,2.0,2.0,6.0,7.0,300404.0,42914.857142857145,5.0,0.0,0.0,7.0,13.0,2830022.0,232258.92857142858,11.0,2.0,2.0,13.0,3.886895578903627e-06,Company_711,Karnataka,"998, Uttar Pradesh",0.000516107451374553,0.0,7,6,1
CIN001822,78,7.0,4392202.0,627457.4285714285,4.0,3.0,3.0,7.0,3.0,807727.0,269242.3333333333,2.0,1.0,1.0,3.0,10.0,5199929.0,448349.88095238095,6.0,4.0,4.0,10.0,1.1538619084991353e-06,Company_1822,Maharashtra,"333, Gujarat",0.0003437508922774807,0.0,3,7,1
CIN001591,79,8.0,3048133.0,381016.625,6.0,2.0,2.0,8.0,8.0,4580171.0,572521.375,7.0,3.0,3.0,8.0,16.0,7628304.0,476769.0,13.0,5.0,5.0,16.0,1.70417959221342e-06,Company_1591,Gujarat,"829, Maharashtra",0.0006062590230783268,0.0,8,8,1
CIN001522,80,3.0,1609232.0,536410.6666666666,3.0,1.0,1.0,3.0,2.0,1905527.0,952763.5,2.0,1.0,1.0,2.0,5.0,3514759.0,744587.0833333333,5.0,2.0,2.0,5.0,1.4225726429607264e-06,Company_1522,Tamil Nadu,"148, West Bengal",0.00018123005679622164,0.0,2,3,1
CIN001993,81,7.0,4970698.0,710099.7142857143,6.0,3.0,3.0,7.0,10.0,2022651.0,202265.1,9.0,2.0,2.0,10.0,17.0,6993349.0,456182.40714285715,15.0,5.0,5.0,17.0,2.144895099615363e-06,Company_1993,Karnataka,"35, Uttar Pradesh",0.001035050829226252,0.014705882352941176,10,7,1
CIN001268,82,9.0,2987787.0,331976.3333333333,5.0,3.0,3.0,9.0,10.0,2427824.0,242782.4,7.0,1.0,1.0,10.0,19.0,5415611.0,287379.36666666664,12.0,4.0,4.0,19.0,2.215816460968116e-06,Company_1268,Karnataka,"290, Gujarat",0.001001279577691249,0.0,10,9,1
CIN000256,83,5.0,907702.0,181540.4,4.0,1.0,1.0,5.0,7.0,1842544.0,263220.5714285714,6.0,1.0,1.0,7.0,12.0,2750246.0,222380.4857142857,10.0,2.0,2.0,12.0,3.6360383762034377e-06,Company_256,Gujarat,"344, Tamil Nadu",0.0007424723149245083,0.0,7,5,1
