company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,total_invoices_sent,total_invoices_received,total_amount_sent,total_amount_received,unique_buyers,unique_sellers,avg_invoice_amount_sent,avg_invoice_amount_received,days_since_registration,invoices_per_month,amount_variance,circular_trading_score,self_invoicing_count,late_filing_count,gst_compliance_rate,turnover_vs_industry_avg,buyer_concentration,seller_concentration,weekend_transaction_ratio,round_amount_ratio,is_fraud
D01C0014,Company_0014,GDXKRL56AHL92MH,NCFWL4611Z,2020-04-06,995 Street 27,Delhi,Delhi,IT Services,43918060.08,325,143,2321078.59,8455375.56,95,85,7141.78,59128.5,634,12.3,1.635,0.2597,9,9,0.968,1.237,0.503,0.427,0.289,0.08,0
D01C0015,Company_0015,Y47M5YR9I0DG6H1,QDNHX7106D,2023-02-01,637 Street 6,Delhi,Delhi,Healthcare,1466640.9,332,214,1786286.82,4195360.53,24,23,5380.38,19604.49,869,35.04,0.827,0.1742,1,18,0.708,0.866,0.562,0.187,0.181,0.402,0
D01C0016,Company_0016,V4NMK5V85ETDBC5,WGHZM8111F,2021-12-31,945 Street 29,Kolkata,West Bengal,Construction,33556328.76,409,163,445370.08,5034790.92,68,99,1088.92,30888.29,846,4.35,0.918,0.0276,1,8,0.942,1.172,0.114,0.498,0.281,0.17,0
D01C0017,Company_0017,23MW2NUICJ6U7QJ,KIFUU3086W,2022-07-08,758 Street 41,Mumbai,Maharashtra,Logistics,20923509.64,327,473,1518309.94,7309752.62,16,28,4643.15,15454.02,612,36.74,0.447,0.1745,8,0,0.743,0.72,0.487,0.602,0.246,0.057,1
D01C0018,Company_0018,23AYDE5BI9PEGI0,PPITS0749X,2020-03-24,54 Street 8,Pune,Maharashtra,Agriculture,27978622.44,458,265,8521817.12,2624280.99,8,96,18606.59,9902.95,240,31.75,0.702,0.7805,0,16,0.918,1.15,0.11,0.061,0.002,0.161,0
D01C0019,Company_0019,D6N86KJRDXBA9KV,LPLFJ7367Y,2022-10-21,357 Street 36,Kolkata,West Bengal,IT Services,7105308.24,29,132,1091127.32,9220287.34,44,41,37625.08,69850.66,767,32.95,0.893,0.9203,0,1,0.904,1.362,0.38,0.787,0.296,0.359,0
D01C0020,Company_0020,QLC688EHW9TYXJT,ROFQJ5309Y,2020-01-14,49 Street 12,Ahmedabad,Gujarat,Retail,9985264.31,182,103,2275268.2,7035591.17,35,20,12501.47,68306.71,233,16.75,0.226,0.7216,4,5,0.988,1.281,0.675,0.948,0.04,0.219,0
D01C0021,Company_0021,LICK9QXX7OLLL46,KWFGV4729N,2024-01-24,222 Street 32,Bangalore,Karnataka,Manufacturing,40057153.98,353,303,375934.14,6208357.71,27,19,1064.97,20489.63,282,27.38,0.742,0.2984,2,4,0.911,1.147,0.496,0.273,0.261,0.346,0
D01C0022,Company_0022,KMTUVIAICTCCWK2,IAPUX9938F,2022-08-06,481 Street 18,Mumbai,Maharashtra,Construction,48416252.63,71,438,6779748.52,2766437.93,82,70,95489.42,6316.07,747,4.86,1.042,0.6315,2,10,0.806,1.151,0.693,0.562,0.018,0.136,0
D01C0023,Company_0023,R5FS2C8G193LDS7,LHICL5363S,2023-06-15,181 Street 36,Chennai,Tamil Nadu,Retail,15739866.49,31,454,2355446.26,6973692.14,67,82,75982.14,15360.56,745,14.94,0.113,0.7702,0,0,0.802,1.915,0.396,0.797,0.168,0.367,0
D01C0024,Company_0024,K6F6BL62640YGPF,ASRPI9614W,2022-05-05,369 Street 6,Pune,Maharashtra,Manufacturing,34646898.52,386,153,4165237.59,2609286.75,69,35,10790.77,17054.16,738,10.94,0.932,0.4425,9,3,0.863,0.973,0.02,0.109,0.184,0.099,0
D01C0025,Company_0025,ZYJC83TT4QOMJAX,VXOUX2741A,2021-10-04,420 Street 16,Kolkata,West Bengal,Logistics,43831818.7,394,358,1436046.65,8173704.07,61,58,3644.79,22831.58,1438,26.06,0.516,0.6194,2,17,0.998,0.568,0.15,0.765,0.097,0.373,0
D01C0026,Company_0026,PUCMEEJ3OOWIATS,BEFWN1086U,2022-11-06,772 Street 49,Pune,Maharashtra,Retail,44740872.51,329,51,3803312.01,164150.93,76,65,11560.22,3218.65,326,32.96,0.505,0.5737,6,2,0.87,0.908,0.839,0.173,0.296,0.243,0
D01C0027,Company_0027,XPY0IRRIOU67JXB,DJPOV0055T,2022-03-09,155 Street 12,Hyderabad,Telangana,Finance,4343706.15,104,329,4273152.79,1707049.55,40,72,41088.01,5188.6,161,31.14,0.574,0.9027,0,19,0.738,1.951,0.549,0.397,0.05,0.25,0
D01C0028,Company_0028,CS5F15LY4NZ0V46,SRGOB5018Q,2023-06-23,922 Street 17,Chennai,Tamil Nadu,Agriculture,2048833.68,478,273,4756001.27,5600398.44,57,89,9949.79,20514.28,1153,7.55,0.344,0.7524,5,3,0.881,1.82,0.392,0.633,0.182,0.214,1
D01C0029,Company_0029,8UGJHU1BYZMSF0B,KGOLL8240R,2021-12-28,120 Street 36,Chennai,Tamil Nadu,Retail,8574537.94,139,140,4257276.04,7137195.95,51,89,30627.89,50979.97,1221,9.83,1.895,0.265,8,7,0.938,0.822,0.23,0.659,0.19,0.206,0
D01C0030,Company_0030,93WJ68F14XZQ78N,TFNMZ7423J,2021-01-31,801 Street 13,Ahmedabad,Gujarat,Healthcare,43919310.92,350,184,1072427.81,4950182.51,13,90,3064.08,26903.17,929,25.37,0.421,0.2294,7,10,0.94,1.158,0.291,0.537,0.019,0.214,0
D01C0031,Company_0031,2PFLE68EVOEKI0A,NPRIC4790P,2022-04-11,205 Street 35,Delhi,Delhi,Agriculture,5007507.01,244,85,7737173.65,8784204.54,85,68,31709.73,103343.58,405,1.98,1.178,0.6936,1,0,0.958,1.618,0.388,0.982,0.097,0.255,0
D01C0032,Company_0032,GPAWV4HKTJVJY23,RCFMD5302G,2023-06-14,430 Street 4,Ahmedabad,Gujarat,Healthcare,21113270.49,198,190,1415199.73,9759905.88,65,73,7147.47,51367.93,300,37.07,0.426,0.233,1,10,0.712,1.033,0.778,0.26,0.126,0.056,0
D01C0033,Company_0033,9TR41UNKD3E0T81,CRMLG3368S,2023-10-19,679 Street 1,Ahmedabad,Gujarat,Manufacturing,47898687.55,214,76,4271709.12,4669556.82,8,73,19961.26,61441.54,301,30.03,0.596,0.6219,3,4,0.736,1.656,0.262,0.721,0.06,0.122,0
D01C0034,Company_0034,9ESULSMTAPQKO2Y,DCCZM3483D,2020-04-09,97 Street 32,Delhi,Delhi,Construction,26704947.72,32,419,2755963.32,7691470.45,27,26,86123.85,18356.73,482,8.78,1.386,0.2549,1,1,0.89,1.669,0.619,0.927,0.031,0.053,0
D01C0035,Company_0035,RXNHAJV53S9Q4O0,SWXCZ2428S,2022-12-05,982 Street 38,Hyderabad,Telangana,Agriculture,34624667.99,152,494,3045029.03,4972982.73,36,31,20033.09,10066.77,678,45.95,1.056,0.9204,6,0,0.974,0.694,0.912,0.116,0.057,0.345,0
D01C0036,Company_0036,9KGWTMAOPO5V060,JQGGN3236H,2021-09-05,389 Street 48,Ahmedabad,Gujarat,Agriculture,15844229.99,418,250,6740586.69,6667732.84,60,48,16125.81,26670.93,1157,27.64,0.399,0.3026,4,8,0.79,1.14,0.18,0.592,0.032,0.256,0
D01C0037,Company_0037,R0XXWOWW72413VM,LMVEJ1364U,2021-11-03,923 Street 30,Kolkata,West Bengal,Agriculture,34356396.29,184,175,5201977.9,2287506.05,15,42,28271.62,13071.46,1386,49.89,0.257,0.8485,8,18,0.826,1.956,0.096,0.145,0.105,0.017,0
D01C0038,Company_0038,JZ5TF3RQBS0PMXA,MRDDE5965Q,2022-08-13,138 Street 25,Ahmedabad,Gujarat,Manufacturing,41747821.03,246,397,1941366.15,1139940.09,83,9,7891.73,2871.39,1104,3.07,1.776,0.2297,0,7,0.834,1.857,0.894,0.462,0.053,0.282,0
D01C0039,Company_0039,S8YOYVHH5JC3SNS,QBFIR9678J,2020-04-13,878 Street 32,Delhi,Delhi,Retail,1012585.04,114,35,4717887.68,9791138.93,60,38,41384.98,279746.83,266,40.83,0.56,0.5721,6,14,0.805,0.875,0.653,0.321,0.155,0.322,0
D01C0040,Company_0040,0GXZ3JVIUG25LI8,XHYZZ7646W,2021-09-25,44 Street 43,Ahmedabad,Gujarat,Finance,37532201.32,298,385,3428431.64,8159196.86,23,45,11504.8,21192.72,1396,4.79,1.922,0.1889,2,16,0.825,1.097,0.418,0.599,0.04,0.163,0
D01C0041,Company_0041,Z4B6WLP12GWF9P6,LLVFE2324Z,2023-09-20,141 Street 34,Ahmedabad,Gujarat,Logistics,49444168.34,218,350,7059747.12,2889566.15,99,49,32384.16,8255.9,772,47.07,1.795,0.42,7,19,0.862,0.71,0.825,0.673,0.046,0.299,0
D01C0042,Company_0042,0VJSEEZM1IZZKDO,UOAIW8645O,2021-10-06,773 Street 37,Pune,Maharashtra,Healthcare,37433466.15,208,384,2299647.26,5878992.43,92,99,11056.0,15309.88,1209,18.71,0.404,0.3762,7,3,0.845,1.99,0.089,0.77,0.074,0.127,0
D01C0043,Company_0043,RDGBV5HBZ38WM4E,HENYM9747I,2021-07-02,684 Street 26,Ahmedabad,Gujarat,Manufacturing,14094155.2,320,202,8457631.97,3831708.49,82,36,26430.1,18968.85,596,33.66,1.057,0.039,6,9,0.782,1.535,0.405,0.65,0.167,0.479,0
D01C0044,Company_0044,YDORNGI3QUHZLV6,MKTDQ6177H,2022-12-10,764 Street 44,Kolkata,West Bengal,Logistics,39485038.49,162,138,5285985.17,1804563.51,20,61,32629.54,13076.55,1231,36.02,0.326,0.128,6,4,0.898,1.09,0.634,0.125,0.184,0.159,0
D01C0045,Company_0045,9B24LNU7O51F6AF,GHKZA9644M,2021-02-27,670 Street 21,Mumbai,Maharashtra,Finance,5250977.73,471,62,5031164.75,4217409.67,94,61,10681.88,68022.74,394,35.94,0.311,0.7538,5,6,0.843,1.158,0.549,0.694,0.244,0.025,0
D01C0046,Company_0046,XCNEQ46BC4BJEDA,QMJYI7388G,2023-09-06,703 Street 38,Hyderabad,Telangana,IT Services,22449886.96,227,347,2574173.78,3007018.55,59,89,11339.97,8665.76,101,35.0,1.423,0.4126,9,15,0.728,1.004,0.925,0.877,0.056,0.155,0
D01C0047,Company_0047,W0Y4XOW8XIC7VMV,ITLFG7134A,2022-01-29,315 Street 23,Hyderabad,Telangana,Healthcare,45438915.6,173,440,1902248.91,215409.86,67,19,10995.66,489.57,1103,1.57,0.616,0.8041,5,19,0.734,1.011,0.741,0.369,0.292,0.474,0
D01C0048,Company_0048,USCMOH5PXZ0Z1J9,JNLVK7185K,2021-09-02,198 Street 17,Delhi,Delhi,Construction,14751346.0,67,493,4744599.67,3904314.65,79,32,70814.92,7919.5,403,11.8,1.936,0.6699,6,8,0.894,1.124,0.069,0.915,0.16,0.026,1
D01C0049,Company_0049,F744BD3QN9BTPEO,JIQAT9059R,2020-07-22,919 Street 41,Delhi,Delhi,Logistics,14459989.4,169,478,9819152.96,9213084.39,55,23,58101.5,19274.24,208,40.07,1.695,0.3828,5,16,0.954,1.915,0.419,0.599,0.177,0.323,0
D01C0050,Company_0050,Z5ASD2DBN0LE234,XDXHO7450H,2021-08-30,406 Street 28,Delhi,Delhi,Retail,6588425.75,260,411,1372417.06,8290592.57,82,81,5278.53,20171.76,835,39.56,0.276,0.4948,7,13,0.715,1.408,0.088,0.965,0.088,0.284,1
D01C0051,Company_0051,KPIULM28VDXQ9Z4,XUYQW6572Q,2022-10-07,65 Street 24,Ahmedabad,Gujarat,IT Services,1066411.2,305,64,2870451.2,5762043.81,60,17,9411.32,90031.93,930,40.28,0.842,0.9506,1,3,0.817,1.918,0.509,0.615,0.072,0.36,0
D01C0052,Company_0052,ZT63KFNSDMUB3XL,RCBQK4903P,2023-11-18,198 Street 38,Bangalore,Karnataka,Healthcare,33973893.09,280,137,8016379.68,3220536.3,71,29,28629.93,23507.56,903,1.38,0.336,0.9479,3,10,0.77,1.872,0.63,0.74,0.046,0.044,0
D01C0053,Company_0053,KML0SSF6LLC9R67,CWGDA3758U,2021-02-03,992 Street 46,Hyderabad,Telangana,Finance,10660242.99,379,173,6664530.14,2351079.73,41,59,17584.51,13590.06,485,3.03,1.155,0.485,6,6,0.769,1.38,0.385,0.475,0.067,0.139,0
D01C0054,Company_0054,83772ESU92Z0N7X,EXTXD3250S,2023-07-09,752 Street 11,Bangalore,Karnataka,Healthcare,13350778.3,487,344,2823646.17,9562394.86,67,53,5798.04,27797.66,1455,4.62,0.408,0.7124,5,12,0.877,1.333,0.616,0.168,0.291,0.304,0
D01C0055,Company_0055,OQ9TGFYU6GO0BDT,NLJCN6285R,2020-06-30,53 Street 2,Ahmedabad,Gujarat,Manufacturing,24629500.65,442,326,3180743.69,5667870.49,41,52,7196.25,17386.11,156,43.81,1.68,0.7498,7,15,0.732,0.535,0.095,0.039,0.123,0.441,0
D01C0056,Company_0056,JDJWSCC4XG5AN4Z,CPOQJ5099R,2020-10-08,254 Street 31,Bangalore,Karnataka,Agriculture,2762791.0,120,188,4228485.13,2215172.77,18,48,35237.38,11782.83,289,24.39,0.59,0.5106,9,8,0.952,0.845,0.911,0.682,0.045,0.257,0
D01C0057,Company_0057,K6V56PYT82039JH,JEKZO5723B,2021-08-12,800 Street 8,Mumbai,Maharashtra,Manufacturing,28748468.51,279,110,6047728.28,2532346.41,70,66,21676.45,23021.33,766,36.85,1.07,0.447,4,15,0.943,1.192,0.665,0.607,0.252,0.083,1
D01C0058,Company_0058,01SRO52VB4QGKYA,BGTQI7871R,2023-05-12,522 Street 18,Ahmedabad,Gujarat,Finance,7421755.89,29,440,7207420.73,9597982.22,57,12,248531.75,21813.6,881,11.7,1.587,0.769,0,9,0.737,0.607,0.23,0.649,0.273,0.424,0
D01C0059,Company_0059,EK508TUTST38OWL,KFMIA4766C,2022-11-02,683 Street 13,Chennai,Tamil Nadu,IT Services,29506346.29,153,380,8580138.32,2426200.63,31,24,56079.34,6384.74,737,33.82,1.123,0.4156,9,6,0.74,0.613,0.609,0.712,0.213,0.111,0
D01C0060,Company_0060,KSVT9FW90UNO76Y,AKWRB9664Q,2022-08-02,871 Street 21,Chennai,Tamil Nadu,IT Services,35017942.17,363,116,6827059.13,1111805.18,77,51,18807.33,9584.53,638,22.76,1.105,0.5001,4,10,0.71,1.233,0.377,0.319,0.217,0.34,0
D01C0061,Company_0061,674NQ2N0RMQEMOA,TABEM7661Q,2022-07-01,881 Street 14,Hyderabad,Telangana,IT Services,5206488.0,179,240,2407971.54,1880421.3,94,24,13452.35,7835.09,258,49.44,1.724,0.0875,1,14,0.855,1.321,0.665,0.539,0.023,0.215,0
D01C0062,Company_0062,GJ4VK9JS0YP1RZR,FCNTS6580L,2022-01-11,483 Street 3,Hyderabad,Telangana,IT Services,20761393.79,173,161,9260919.33,7673936.83,97,84,53531.33,47664.2,331,15.03,0.566,0.9043,3,5,0.77,1.468,0.355,0.211,0.052,0.488,1
D01C0063,Company_0063,8ZDE8IAJR8O04DW,MCXOH8625X,2023-03-30,728 Street 44,Ahmedabad,Gujarat,Manufacturing,34750567.87,35,203,7822894.24,7102204.35,96,63,223511.26,34986.23,692,6.32,0.341,0.4547,7,16,0.809,1.364,0.999,0.773,0.154,0.321,1
D01C0064,Company_0064,9TTM88DTPYEJKR2,FUCRF4887W,2020-12-25,430 Street 13,Pune,Maharashtra,Manufacturing,20767545.55,391,266,3108445.73,4407522.15,52,99,7949.99,16569.63,955,27.8,1.164,0.5991,6,13,0.983,1.465,0.013,0.304,0.177,0.248,0
D01C0065,Company_0065,42YDOYKS6E4DN6H,WNRBV9438D,2020-12-09,192 Street 19,Kolkata,West Bengal,Construction,2592677.6,189,298,3084408.13,7948354.85,17,65,16319.62,26672.33,1418,34.38,0.344,0.0706,2,1,0.76,1.83,0.711,0.782,0.284,0.206,0
D01C0066,Company_0066,SO59KR6TH1MRA9X,YXDKN5701P,2022-01-30,913 Street 35,Pune,Maharashtra,Logistics,26841230.66,44,406,8817624.77,5199251.29,58,58,200400.56,12806.04,227,7.6,0.729,0.5294,3,4,0.825,0.543,0.133,0.858,0.06,0.267,0
D01C0067,Company_0067,78JTP14IJZOEHUV,STRNG9842A,2020-10-28,572 Street 33,Ahmedabad,Gujarat,Manufacturing,33223352.8,160,114,1304480.88,4165301.7,47,18,8153.01,36537.73,1108,27.42,0.72,0.2213,4,18,0.794,0.878,0.993,0.315,0.24,0.197,0
D01C0068,Company_0068,8TVFOKZJHNQMVG5,DJNNM6657W,2020-04-12,637 Street 13,Pune,Maharashtra,Healthcare,25792966.69,299,356,6352935.3,1218547.27,21,35,21247.28,3422.89,668,37.48,1.901,0.3852,0,17,0.988,0.534,0.15,0.496,0.073,0.286,0
D01C0069,Company_0069,YTCLYX36LRLEFJD,GOFNI0722R,2023-08-31,116 Street 7,Delhi,Delhi,IT Services,47235278.32,129,341,2813241.69,8844915.11,53,33,21808.08,25938.17,602,6.48,0.814,0.56,4,16,0.967,1.316,0.576,0.183,0.244,0.015,0
D01C0070,Company_0070,TZUYIHU5PAAKWDI,AGFFP0080T,2020-05-31,743 Street 17,Delhi,Delhi,Logistics,29369096.52,365,367,8280643.24,2792152.48,25,7,22686.69,7608.04,1469,39.5,0.991,0.815,9,4,0.704,1.643,0.647,0.47,0.106,0.498,0
D01C0071,Company_0071,Y9MVSALFJ1YBC0D,SGFQX9520I,2021-09-03,606 Street 33,Pune,Maharashtra,Construction,45179755.57,327,124,3677008.3,6181794.2,12,80,11244.67,49853.18,883,27.66,1.9,0.2628,5,17,0.978,0.686,0.743,0.318,0.242,0.049,1
D01C0072,Company_0072,LJBBFO7WIYJSL8M,PKAMB7057X,2021-07-17,449 Street 27,Delhi,Delhi,Agriculture,6959987.74,472,35,7346992.64,9846568.8,89,97,15565.66,281330.54,131,1.52,1.674,0.7278,5,18,0.729,1.779,0.579,0.018,0.086,0.015,0
D01C0073,Company_0073,2X4V5OYWSUTO6WT,FSKGP3318W,2021-07-08,745 Street 35,Bangalore,Karnataka,Retail,7049889.73,145,193,1964558.01,1934709.32,28,48,13548.68,10024.4,1286,29.87,1.377,0.492,7,11,0.872,1.813,0.524,0.773,0.176,0.405,0
D01C0074,Company_0074,BSGHPTJJTRODNXT,GRIZE0092G,2022-08-30,157 Street 34,Ahmedabad,Gujarat,Manufacturing,40388825.31,170,79,4840386.68,9653620.52,81,34,28472.86,122197.73,1449,40.43,0.608,0.3042,1,3,0.767,0.824,0.859,0.357,0.121,0.389,0
D01C0075,Company_0075,T40YBLYF6F5H44M,NZUHW8021Y,2022-12-30,548 Street 43,Mumbai,Maharashtra,Construction,19944074.17,141,15,8045766.53,6544517.92,42,95,57062.17,436301.19,998,49.56,0.353,0.2904,5,17,0.78,0.973,0.342,0.843,0.17,0.417,0
D01C0076,Company_0076,5F4NPEVJY2VA87X,VTXVG4730T,2021-10-15,438 Street 6,Pune,Maharashtra,Agriculture,8351174.44,333,280,4000032.71,1330879.47,20,84,12012.11,4753.14,625,49.57,0.735,0.2411,4,7,0.849,0.77,0.261,0.171,0.235,0.162,0
D01C0077,Company_0077,NU5Q2VP7OVBQBZA,DMVKP7775A,2021-09-10,521 Street 39,Bangalore,Karnataka,Finance,46382678.16,489,225,1657661.7,7730675.1,9,52,3389.9,34358.56,1468,21.28,0.404,0.0732,1,13,0.916,1.091,0.947,0.644,0.253,0.399,0
D01C0078,Company_0078,BEFSMJ96X23I3IU,OJIRQ0761Z,2022-06-15,865 Street 10,Delhi,Delhi,Agriculture,17453516.4,386,12,6507373.12,9520168.99,20,39,16858.48,793347.42,644,2.83,1.925,0.5811,7,4,0.908,0.99,0.13,0.338,0.01,0.171,0
D01C0079,Company_0079,MF16L5MX91CPNK3,KTCIU1339U,2022-05-30,559 Street 38,Bangalore,Karnataka,Agriculture,37565523.95,451,101,7545591.77,5649666.47,13,33,16730.8,55937.29,756,48.55,0.482,0.6249,7,9,0.71,1.737,0.143,0.117,0.276,0.424,1
D01C0080,Company_0080,PZWSCY6GXRMZ9A6,RRKGW9096P,2020-05-30,954 Street 1,Ahmedabad,Gujarat,Retail,36327299.47,362,74,2837916.72,6901124.24,53,14,7839.55,93258.44,1214,11.81,0.69,0.2352,6,2,0.857,1.465,0.462,0.966,0.071,0.073,0
D01C0081,Company_0081,N4GZDM8X2QQR10G,EJSNI5592L,2022-08-25,55 Street 12,Kolkata,West Bengal,Logistics,44176973.95,184,258,4541050.52,312161.39,41,57,24679.62,1209.93,799,47.8,1.357,0.5643,0,14,0.939,0.71,0.353,0.733,0.071,0.395,1
D01C0082,Company_0082,PTU74FNDACG1Y2K,IUXZE0628R,2023-02-22,278 Street 26,Bangalore,Karnataka,Agriculture,31221243.13,227,493,9009466.68,9891303.07,71,29,39689.28,20063.5,547,48.3,0.931,0.8726,7,14,0.919,1.855,0.924,0.094,0.124,0.444,0
D01C0083,Company_0083,F838AOW06TOA296,YOSOF1309U,2023-03-29,327 Street 27,Ahmedabad,Gujarat,Manufacturing,37572027.46,415,236,8726257.03,3218648.34,82,77,21027.13,13638.34,385,17.09,1.221,0.8077,7,14,0.811,1.854,0.005,0.686,0.141,0.086,1
D01C0084,Company_0084,XMI178GVSP270ZY,SZYCJ6508Q,2021-11-16,442 Street 50,Chennai,Tamil Nadu,Logistics,17510027.26,102,97,7086516.72,287842.6,23,93,69475.65,2967.45,961,38.38,1.713,0.4073,2,2,0.92,0.514,0.045,0.664,0.267,0.322,1
D01C0085,Company_0085,XTI2EXNUXR9IA8L,JKQJO2445T,2021-06-22,170 Street 34,Hyderabad,Telangana,Manufacturing,13569401.8,265,452,5929460.96,8095213.3,49,92,22375.32,17909.76,429,31.96,1.217,0.4962,3,17,0.84,1.2,0.769,0.555,0.065,0.053,1
D01C0086,Company_0086,KOV9ZLTQSPGOOH3,KKFFH8651R,2023-01-03,532 Street 18,Bangalore,Karnataka,Retail,44804722.29,109,34,8182953.59,9733862.89,43,5,75072.97,286290.09,586,42.48,1.044,0.7064,8,0,0.897,1.504,0.761,0.147,0.077,0.466,0
D01C0087,Company_0087,MFU42W0MFJMKQFE,CWAGY0643B,2022-09-13,449 Street 14,Pune,Maharashtra,Retail,21461750.37,366,125,9081064.23,7389005.67,16,28,24811.65,59112.05,1195,47.77,1.688,0.5779,2,13,0.915,1.477,0.753,0.933,0.027,0.349,0
D01C0088,Company_0088,JH2THP5UTOHWC2C,TESLA1588S,2021-07-26,130 Street 15,Hyderabad,Telangana,Agriculture,48245518.35,350,439,74950.22,77221.27,34,21,214.14,175.9,657,11.08,1.616,0.7547,2,15,0.92,1.516,0.871,0.206,0.106,0.34,0
D01C0089,Company_0089,0NYVETCINKX9M4I,RXDSO0040W,2023-11-06,577 Street 18,Kolkata,West Bengal,Construction,33205730.74,68,280,4002416.27,680437.09,78,19,58859.06,2430.13,405,21.06,1.964,0.9502,5,13,0.719,1.382,0.819,0.503,0.087,0.207,0
D01C0090,Company_0090,ZMTD3HQK3VW1JC3,EHRMU6817Z,2020-05-27,531 Street 12,Kolkata,West Bengal,Agriculture,31122616.44,74,343,5636026.35,5863480.58,10,94,76162.52,17094.7,218,36.7,1.902,0.177,9,3,0.945,1.622,0.746,0.021,0.06,0.204,0
D01C0091,Company_0091,L38WD4WIHSE6Z3N,SOLDF3631A,2021-10-20,71 Street 18,Hyderabad,Telangana,Retail,5825824.05,50,250,7352535.21,3390365.32,98,48,147050.7,13561.46,731,29.91,1.843,0.7893,8,5,0.869,0.576,0.433,0.019,0.171,0.341,0
